epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,2353.06,1.22477,0.8332,1.3005,0.72881,0.59511,0.60908,0.29256,2.40316,1.78162,2.43326,0.00014712,0.00014712,0.00014712
66,2389.04,1.2224,0.8283,1.29581,0.72093,0.59989,0.60711,0.28966,2.39717,1.78878,2.43655,0.000140137,0.000140137,0.000140137
67,2425.18,1.20707,0.82623,1.28958,0.71954,0.60979,0.60896,0.29065,2.39881,1.79618,2.43332,0.000133266,0.000133266,0.000133266
68,2461.32,1.1974,0.8122,1.28209,0.66661,0.63952,0.61,0.29101,2.39922,1.81259,2.43216,0.000126512,0.000126512,0.000126512
69,2497.48,1.18898,0.8038,1.27595,0.68973,0.60417,0.60043,0.28891,2.41007,1.83167,2.44952,0.000119883,0.000119883,0.000119883
70,2533.88,1.19647,0.80725,1.28218,0.68176,0.62388,0.60489,0.2908,2.40842,1.80515,2.45433,0.000113384,0.000113384,0.000113384
71,2569.72,1.16975,0.79314,1.26582,0.68394,0.62703,0.60936,0.29108,2.40388,1.82992,2.45748,0.000107023,0.000107023,0.000107023
72,2605.95,1.17606,0.7927,1.26616,0.71261,0.60816,0.60415,0.29134,2.40225,1.813,2.45838,0.000100806,0.000100806,0.000100806
73,2642.05,1.16729,0.78049,1.26383,0.68404,0.61591,0.60501,0.29098,2.41151,1.84363,2.46378,9.47376e-05,9.47376e-05,9.47376e-05
74,2678.27,1.16194,0.78552,1.26272,0.70431,0.6056,0.60463,0.29171,2.4133,1.85016,2.46672,8.88253e-05,8.88253e-05,8.88253e-05
75,2714.25,1.16461,0.77981,1.26281,0.69476,0.61759,0.60635,0.29122,2.41568,1.85274,2.46946,8.30746e-05,8.30746e-05,8.30746e-05
76,2750.46,1.17158,0.78428,1.26323,0.69435,0.61793,0.60761,0.29139,2.42042,1.83443,2.47583,7.74911e-05,7.74911e-05,7.74911e-05
77,2786.46,1.149,0.78647,1.25273,0.70437,0.6155,0.60743,0.29222,2.42225,1.84133,2.47739,7.20803e-05,7.20803e-05,7.20803e-05
78,2822.49,1.14598,0.76759,1.24602,0.68781,0.61969,0.60745,0.29118,2.42213,1.85516,2.48229,6.68475e-05,6.68475e-05,6.68475e-05
79,2858.56,1.13266,0.75731,1.24217,0.66761,0.63378,0.60268,0.29084,2.42097,1.85753,2.49153,6.1798e-05,6.1798e-05,6.1798e-05
80,2894.72,1.13197,0.7583,1.24092,0.67454,0.62121,0.60579,0.29188,2.42232,1.86175,2.49476,5.69366e-05,5.69366e-05,5.69366e-05
81,2930.87,1.13174,0.75716,1.24075,0.67004,0.62753,0.60542,0.29116,2.43005,1.85411,2.50964,5.22683e-05,5.22683e-05,5.22683e-05
82,2966.95,1.13107,0.7507,1.24134,0.66911,0.63169,0.60058,0.28998,2.43474,1.85502,2.51858,4.77976e-05,4.77976e-05,4.77976e-05
83,3003.04,1.12539,0.75632,1.23981,0.6735,0.63207,0.59902,0.28836,2.4383,1.85413,2.53049,4.35288e-05,4.35288e-05,4.35288e-05
84,3039.32,1.12811,0.74922,1.23532,0.66243,0.63823,0.60353,0.28957,2.43726,1.85966,2.52728,3.94663e-05,3.94663e-05,3.94663e-05
85,3075.46,1.11944,0.74802,1.23488,0.66226,0.64397,0.60343,0.28887,2.43788,1.8597,2.53102,3.56141e-05,3.56141e-05,3.56141e-05
86,3111.59,1.12208,0.74986,1.23463,0.6673,0.64835,0.60594,0.28969,2.43558,1.85198,2.5316,3.19759e-05,3.19759e-05,3.19759e-05
87,3147.69,1.11014,0.73556,1.227,0.67256,0.64369,0.60639,0.2894,2.43629,1.85761,2.53488,2.85553e-05,2.85553e-05,2.85553e-05
88,3183.93,1.11226,0.74312,1.22966,0.68011,0.63111,0.60673,0.28852,2.43462,1.85423,2.53622,2.53557e-05,2.53557e-05,2.53557e-05
89,3220.01,1.09807,0.73178,1.22392,0.67711,0.63006,0.60591,0.28893,2.43435,1.85692,2.54068,2.23803e-05,2.23803e-05,2.23803e-05
90,3256.33,1.10799,0.73609,1.23069,0.67841,0.63006,0.60568,0.289,2.43692,1.86274,2.5455,1.9632e-05,1.9632e-05,1.9632e-05
91,3292.74,1.11377,0.64071,1.27697,0.67407,0.62871,0.60437,0.28939,2.43619,1.85612,2.54932,1.71135e-05,1.71135e-05,1.71135e-05
92,3327.73,1.07125,0.59308,1.25484,0.66898,0.64054,0.60523,0.28977,2.43971,1.84793,2.5569,1.48273e-05,1.48273e-05,1.48273e-05
93,3362.66,1.04815,0.58135,1.23535,0.66669,0.64245,0.60852,0.2898,2.43957,1.85295,2.55805,1.27757e-05,1.27757e-05,1.27757e-05
94,3397.74,1.04223,0.56781,1.23121,0.67209,0.63561,0.6091,0.29027,2.44287,1.85136,2.56357,1.09606e-05,1.09606e-05,1.09606e-05
95,3432.7,1.03707,0.57817,1.235,0.67354,0.63483,0.60936,0.28901,2.44518,1.84704,2.5689,9.38391e-06,9.38391e-06,9.38391e-06
96,3467.78,1.0346,0.57194,1.23061,0.70886,0.61445,0.60963,0.28815,2.44946,1.84496,2.57657,8.04714e-06,8.04714e-06,8.04714e-06
97,3502.67,1.03053,0.56835,1.23026,0.71564,0.61235,0.61102,0.28747,2.45001,1.84553,2.57978,6.95161e-06,6.95161e-06,6.95161e-06
98,3537.67,1.02395,0.56544,1.22258,0.71761,0.61235,0.61203,0.28702,2.4497,1.84647,2.57985,6.09841e-06,6.09841e-06,6.09841e-06
99,3572.69,1.02517,0.56908,1.22165,0.71784,0.60996,0.61159,0.28674,2.45139,1.84981,2.58305,5.48838e-06,5.48838e-06,5.48838e-06
100,3607.64,1.01488,0.55826,1.21811,0.71605,0.6113,0.61127,0.28641,2.4517,1.85154,2.5846,5.12213e-06,5.12213e-06,5.12213e-06
